domain,use numbers,status(public/private),owner,days,datatime
chickenkiller.com,310830,public,josh,8327,2001-01-02
mooo.com,703545,public,josh,8255,2001-03-15
good.one.pl,936,public,meziash,7977,2001-12-11
ignorelist.com,94222,public,josh,7913,2002-02-20
chaplin.info,21,private,bchaplin,7747,2002-07-31
kan-do.org,61,private,eli7,7684,2002-06-24
mweise.ch,34,private,malibou,7648,2002-10-17
butterweasel.com,49,private,preston,7614,2002-12-01
bernot.org,43,private,sebb,7588,2003-01-02
tas-network.com,33,private,lizerd,7543,2003-02-09
badell.com,68,private,camel,7538,2003-02-25
streetsamurai.com,35,private,ssamurai,7525,2003-03-14
modionline.com,46,private,bmodi,7488,2003-04-08
sayan007.com,9,private,sayanimm,7480,2003-04-24
thesleepwalker.org,29,private,jchaps31,7469,2003-04-20
xfoo.net,62,private,joshxfoo,7464,2003-05-14
detecta.ca,18,private,johnosmi,7439,2003-05-25
midgaard.us,15,private,aboman,7434,2003-05-09
beekerland.com,38,private,beekerc,7425,2003-06-18
nazari.org,95,private,siamakna,7416,2003-06-25
danmcinerney.com,38,private,mcida,7400,2003-07-09
appmine.com,49,private,dajablon,7397,2003-05-29
twilightparadox.com,35041,public,josh,7388,2003-07-30
fantome.net,23,private,lode,7381,2003-03-01
mouse-hole.com,24,private,drmouse,7375,2003-08-04
spoofomatic.com,29,private,preston,7372,2003-07-28
adamsalem.com,37,private,sndmndbd,7368,2003-08-14
gossip.se,27,private,janerik,7360,2003-05-14
csdconsulting.ca,19,private,tessa1,7353,2003-09-03
engels.lu,62,private,engelsfr,7351,2003-08-11
ohbah.com,1792,public,pattait,7349,2003-09-07
magumbu.net,23,private,mhae,7336,2003-09-06
yahost.net,23,private,jwu,7321,2003-09-28
ah-lui.com,28,private,nelsonty,7317,2003-10-01
chinn.org,23,private,beekerc,7310,2003-10-13
frankengels.net,31,private,engelsfr,7282,2003-08-07
ku4oy.us,228,public,cdfergus,7272,2003-11-22
directsale.ch,23,private,adraez,7270,2003-11-23
spacetechnology.net,3378,public,jiso,7265,2003-11-30
monkeyspannered.com,19,private,pth,7264,2003-10-03
spoof-o-rama.com,28,private,preston,7257,2003-11-24
spooforama.com,26,private,preston,7256,2003-11-24
ripoche.org,42,private,ripoche,7242,2003-11-25
haell.com,21,private,bigwyrm,7239,2003-12-12
